25,Junior Data Scientist,    BitVoyant,"Rosslyn, VA",,"Junior Data Scientist. As a Data Scientist (Big Data), you will apply cutting-edge statistical and mathematical methods to the collection, correlation and..."
26,Data Scientist (Full time),        RangTech,"Township of Piscataway, NJ",,"Experience in data visualization and presentation. Experience/Interest in machine learning, data mining, and predictive analysis...."
27,Data Scientist / Statistician,    SBG Technology Solutions,"Alexandria, VA 22314 (Southwest Quadrant area)",,"Independently, design and implement data reporting systems for statistical data retrieved from VA's Corporate Data Warehouse...."
34,Data Scientist,    Emerge Media,"Chicago, IL",,We are looking for a Data Scientist to help secure our competitive advantage within the translation tech industry....
35,Data Scientist,    nuvento,"Kansas City, KS",,"We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver..."
36,Data Scientist,    Keyo,"Palo Alto, CA","$120,000 - $200,000 a year","We’re looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you’ll build and implement the..."
37,Data Scientist,    Resolve Tech Solutions Inc.,"Basking Ridge, NJ",,* PhD * Statistics educational background Possibility of the position turning into a Contract to Hire position. Prefers local candidates Job Type: Contract
38,Data Scientist,    Vectra Networks,"Austin, TX",,"Successfully applied machine learning, statistical methods, data mining to academic/work projects. Be on the leading edge of applying machine learning and data..."
39,"Data Scientist, Senior Associate",        Capital One,"Vienna, VA",,"Data Scientist, Senior Associate. Writing software to clean and investigate large, messy data sets of numerical and textual data...."
40,Entry Level- Data Scientist,    H3 Technologies,"Florence, KY 41042",,Entry level Data Scientist. We are looking for an entry level Data Scientist. We can provide project support to the Data Scientist who recently completed...
41,Data Scientist,        Sandhills Publishing,"Lincoln, NE 68521",,The Data Scientist may be responsible for any of the following tasks:. The Data Scientist would need to be able to take this data and apply to the markets our...
42,Machine Learning Data Engineer,        Capital One,"Tysons Corner, VA",,"Machine Learning Data Engineer. At Capital One, we have seas of big data and rivers of fast data. Enterprise Data Services- Machine Learning...."
47,Senior Data Scientist,        USAC,"Washington, DC",,"Working in a creative and fast-paced environment, the Senior Data Scientist will partner effectively with USAC leadership, Stakeholder Engagement, IT, and..."
48,Data Scientist / Digital Analyst,        NPR,"Washington, DC",,"The Data Scientist / Digital Analyst works under the direct supervision of Senior Director, Audience Insights...."
49,Data Scientist - Sg2,"        Vizient, Inc.","Skokie, IL 60077",,"Commercial claims data, Hospital State Data, SAF, and other CMS databases). The Data Scientist is responsible for the design and development of a core set of..."
50,"Data Scientist, Analytics",    Oculus VR,"Menlo Park, CA",,The Data Scientist Analytics role has work across the following four areas:. We’re looking for Data Scientists to work on our core and business products at...
51,"Data Scientist, VPICU",        Childrens Hospital Los Angeles,"Los Angeles, CA",,The Data Scientist conducts research in medical applications of data science by applying techniques and models from machine learning and computational...
52,Data Scientist,        Centra Technology,"Arlington, VA",,"Courage Services, a CENTRA Technology company, is looking for a Data Scientist who:. Provides geospatial intelligence analysis services and data production to..."
53,Research Data Analyst II (SAS Required),    Mid-Atlantic Permanente Medical Group,"Rockville, MD",,"Maintain data integrity. Oversee all phases of SAS/SQL/analytical programming, data management, macros, quality control and reporting of research data...."
54,"Data Scientist II, Sequencing",    Enterprise Select,"Pleasanton, CA 94588","$120,000 a year","As a Data Scientist, you will be performing analysis to drive development of our sequencing technology. Using command line tools to perform data conversion and..."
55,Lead Data Analyst,    Plus3 IT Systems,"Washington, DC",,"Minimum 5 years’ experience working on complex data/database projects as a data analyst, data architect, data scientist or database engineer...."
56,Data Scientist (Math background),        Jobspring Partners,"Washington, DC","$150,000 - $250,000 a year","The data scientist will develop and implement new methods. The senior data scientist will be working on research, development, and methodology...."
64,Data Scientist (1952),    AVL LIST,"Plymouth, MI",,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques...."
65,Data Scientist II,        Microsoft,"Bellevue, WA",,"2+ years data experience. You will have plenty of opportunities to grow if you are a data scientist who is strong, excited about the space and passionate!..."
67,Data Scientist,        Demandbase,"San Francisco, CA",,Build out new applications and business solutions as part of a combined data scientist / machine learning / engineering team....
68,Distinguished Data Scientist,        Verizon,"Palo Alto, CA 94301 (Professorville area)",,Verizon Corporate Technology(VZ Labs) is looking for Senior Data Scientist. This position is responsible for meeting the big data needs of our various products...
69,Data Scientist with SAS Experience,        Rescare,"New Orleans, LA",,At a minimum the position requires a experience in a quantitative field and fluid knowledge of data acquisition and analysis tools employed to extract and...
70,Risk Based Data Scientist,        Protective Life Corporation,"Birmingham, AL 35223",,Risk Based Data Scientist. Mine and analyze underwriting and experience data to find associations and define predictive qualities of certain data elements....
71,Data Scientist IV,        Vencore,"Reston, VA",,"Perform data migration activities to support transition of data between legacy and new systems through developing data migration strategies, logical data models..."
72,Jr. Data Scientist/ Programmer,        Leidos,"Bethesda, MD",,"Data Scientist/ Programmer to work in Bethesda, MD. Build scalable and high performance machine learning and data mining algorithms...."
78,Data Scientist-CS,        Overstock.com,"Midvale, UT",,Big Data Analytics. Prepare lectures/presentations on tools and techniques that other analysts and data scientists should know....
79,Data Scientist,    Cyber Space Technologies Llc,"Pittsburgh, PA",,"*Extensive experience in Hadoop/Big Data environments, including experience with MongoDB and Data Ontology; Data science, statistical analysis, data mining and..."
80,Natural Language Processing Data Scientist,    T and T Consulting Services,"Falls Church, VA 22042",,Experience with common data science toolkits and methods to identify potential candidate data for inclusion in data repositories and user interfaces....
81,Cleared Jr. Data Scientist,"    RedJack, LLC","Silver Spring, MD 20910",,"Data Scientist to analyze and implement analytic tools and techniques for our clients using large ( > 1 TB/day) volumes of data from multiple sources, including..."
82,Senior Applied Data Scientist - Census,    Civis Analytics,"Washington, DC",,"Teach and mentor Applied Data Scientists. Work with cross-functional teams of engineers, data scientists, social scientists as necessary...."
83,Data Scientist (Machine Learning),    QuintilesIMS,"Boston, MA",,The Cognitive/AI Data Scientist will be a leader in Artificial Intelligence/Computer Vision/Machine Learning....
84,Data Scientist Associate Job,        SAIC,"McLean, VA",,"Data Scientist Associate (Job Number:. Performs the pre-analytics areas of data collection and understanding, data cleansing and integration, and data storage..."
86,Data Scientist / BI Analyst,        Infusionsoft,"Chandler, AZ",,"Utilizes an advanced understanding of multiple complicated data structures and sources that lead the design, development and implementation of decision support..."
87,Data Scientist-Analytics Innovation,        Cigna,"Bloomfield, CT",,"Has technical knowledge with a wide variety of data, analytical, statistical, BI, Data science, Big Data and programing tools and languages...."
94,Data Visualization Research Specialist,    Northeastern University - Network Science Institut...,"Boston, MA","$50,000 a year","The lab of Professor Albert-László Barabási, together with the Network Science Institute at Northeastern University and the Division of Network Medicine at..."
95,Data Scientist/ Modeler,    Nucleus Marketing,"New York, NY",,Nucleus Marketing Solutions is looking for an exceptional data scientist to leverage our massive dataset of advertiser and publisher data to enhance advertising...
96,"Data Scientist, CDHI",        University of California San Francisco,"San Francisco, CA",,"Data management expertise, including data quality from structured relational databases. Creating new de-identified datasets by extracting data from healthcare..."
97,Clinical Data Scientist,        GlaxoSmithKline,"Upper Providence, PA",,"To deliver the data management components of a series of clinical studies or project from data capture from multiple sources, through improving in-stream data..."
98,Statistician,        ACI Federal,"Bethesda, MD",,"Collects, classifies and analyzes quantified and statistical data inprojects and special studies...."
99,Data Scientist Intern,        HP,"Houston, TX",,"Preferably Java, Python and SQL Experience in data extraction, data cleansing and preparation, text analytics, data mining...."
100,Data Scientist / Analyst,        Booz Allen Hamilton,"Washington, DC",,"Experience with using R, Perl, Python, SAS, or SPSS for analysis of data. Experience with machine learning, data mining, statistics, or graph algorithms in an..."
101,Junior Scientist / Engineer,        ECS Federal LLC,"Arlington, VA",,"ECS Federal, LLC (ECS) is seeking a Junior Scientist / Engineer to work in our Arlington, VA office. Design theory, geometric modeling, numerical analysis,..."
102,Data Scientist,    Weather Analytics,"Dover, NH",,"Weather Analytics is seeking a Data Scientist to assist the Data Science team in innovative data manipulation, analysis, predictive modeling, and delivery to..."
108,Data Scientist,    AIM Consulting Group,"Seattle, WA",,AIM Consulting is seeking experienced Data Scientists to join our Data and Analytics team. Strong communication and data presentation skills....
109,Data Scientist Student for Advanced Analytics,        Intel,Illinois,,The data science student will work on a leading project in the healthcare domain that leverages wearables sensory data to derive insights on patient status and...
110,"Data Scientist | Dallas, TX",        Photon,"Dallas, TX",,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc...."
111,Data Scientist,"        Pragmatics, Inc","Tampa, FL 33609 (Swann Estates area)",,"As a Data Scientist, you should be able to perform the following tasks:. Ability to merge data sources together, ensure consistency of data-sets, frame..."
112,Data Scientist (Hatcx),        Blue Cross and Blue Shield of Nebraska (BCBSNE),"Omaha, NE",,Implement systems to capture and manage data along with the development of algorithms to generate insight from the data that's captured....
113,Analytics Engineer (Boston),    QuantumBlack,"Boston, MA",,"Work closely with Data Engineers and Data Scientists to create analytical variables, metrics, and models. You’re exceptionally talented, and looking to work in..."
114,Data and Applied Scientist,        Microsoft,"Cambridge, MA",,We are looking for a Data Scientist with strong analytical and developer skills to join our team to develop industry leading machine learning solutions....
115,Data Scientist / Developer - Analytics Center of Excellence,    QuintilesIMS,"Philadelphia, PA",,"Data Scientist/Developer – the role. As a data science software developer, this is a unique opportunity to build unparalleled in-depth knowledge within our..."
116,"Data Scientist, Workforce Intelligence",        Northwell Health,"New Hyde Park, NY",,"Produces data collection instruments, data editing and exception reports. Ensure data integrity. Provides data management support...."
117,Data Scientist,"    Epitec, Inc.","Dearborn, MI",,"Epitec is seeking a Data Scientist for a long-term opportunity with a major automotive manufacturer in Dearborn, MI...."
123,Data Scientist II,        American Family Insurance,"Chicago, IL",,"R3089 Data Scientist II (Open). Demonstrated experience in machine learning, predictive modeling, or statistics / data mining using large amounts of structured,..."
124,Data Scientist- Business Analytics,        Zillow,"Seattle, WA 98101 (Downtown area)",,Zillow Group Business Analytics team is looking for a Data Scientist interested in transforming ideas into action....
125,Data Scientist,    MorganFranklin,"Washington, DC",,"Data strategy, analytics, and data science/machine learning, including data architecture, technology implementations and algorithm development...."
126,Data Scientist,    Datanomers,"Freehold, NJ 07728",,"2+ Years of experience delivering world-class data science outcomes. Operations Research, Applied Statistics, Data Science, Machine Learning or Physics...."
127,Scientist (Data Content) [ONCO2017B],    OmicSoft/QIAGEN,"Cary, NC",,"Omicsoft, a QIAGEN Company, is seeking a talented and motivated scientist to join the Oncology Data Curation team...."
129,Deep Learning Data Scientist,        NVIDIA,"Santa Clara, CA",,"Mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior...."
130,Consultant - Insight Studio Data Scientist,        Deloitte,"McLean, VA",,As a data scientist within our team you will have the opportunity to solve challenging problems across a broad range of industry domains....
131,Data Analysis Associate,        Rescare,"Trenton, NJ",,"Processes and interprets data from a variety of sources, including the district-wide data system (e.g. Ability to use data management systems...."
132,Visual Data Scientist & Data Analyst,        ASG Renaissance,"Dearborn, MI 48124",,The Visual Data Scientist & Data analyst positions discover and curate new and existing data sources to create solutions for the business....
138,Data Scientist/ Research Analyst,    Avani Tech Solutions,"Cincinnati, OH",,"Minimum of 2 years’ experience with data collection and analysis. The Operations Research Analyst/ Data Scientist will create detailed analysis, operational..."
139,Data Scientist - Product Strategy & Research,        Instructure,"Salt Lake City, UT",,Our Product team is looking for a data science nerd with product design sense. Passion for putting data to work to help people save time and be more effective....
140,Data Scientist-FDA,        Oak Ridge Associated Universities,"Silver Spring, MD",,"Additional background in Statistics, Bio-Statistics or Data Analytics, Big Data, Big Data Analytics, Data Mining would also be beneficial...."
141,"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",        McKinsey & Company,"Washington, DC 20036 (Downtown area)",,"It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the..."
142,Data Science: Mapping Tools,        Uber,"Palo Alto, CA 94304",,"Work independently, as well as in collaboration with other data scientists. We're looking for a Data Scientist to join our Maps team in Palo Alto, CA, focusing..."
143,"Data Scientist, Advanced Analytics - IBM Consulting",        IBM,United States,,Are you a motivated and driven Data Scientist? The primary focus of the Data Scientist role is to help the client understand the potential meaning that can be...
144,Data Scientist,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA","$160,000 a year","Excel, SQL, SAS, R, and Tableau) through determination of appropriate analytic approach (sample data analysis, trending, regression, etc.)...."
145,Junior Data Scientist,        Mitre Corporation,"McLean, VA",,"Be passionate about applying data analytics to real world problems. The Model-Based Analytics Department is seeking a motivated, creative Data Scientist to..."
146,Statistical Assistant,        Mathematica Policy Research,"Washington, DC 20024 (South West area)",,"Assistants support all statistical activities including survey sampling, data analysis, and project management...."
147,Global Supply Chain Data Scientist,        MONSANTO,"St. Louis, MO",,This position is for a Data Scientist to work on operations research within our Global Supply Chain Analytics team....
153,DCGS-SOF Data Scientist,        Pragmatics,"Tampa, FL 33609 (Swann Estates area)",,"As a Data Scientist, you should be able to perform the following tasks:. Ability to merge data sources together, ensure consistency of data-sets, frame..."
154,Global Environmental Data Scientist,        MONSANTO,United States,,Big data and analytics to turn yield testing data into faster and timely. Monsanto is revolutionizing agriculture through big data science....
155,Research Data Analyst - Neurosurgery,        Allegheny General Hospital,"Pittsburgh, PA",,"Obtains source documentation to complete data forms. Enters, maintains, and submits data in various research sponsor databases...."
156,Data Scientist,    BitVoyant,"Rosslyn, VA",,"BitVoyant – Data Scientist. As a Data Scientist (Big Data), you will apply cutting-edge statistical and mathematical methods to the collection, correlation and..."
157,Data Scientist (Only GCs or US Citizens),        Pro-Tek Consulting,"Atlanta, GA",,To conceptualize| design and deliver product / sustenance delivery through the team as per defined scope and standards in a particular technology (1.) To
158,Data Scientist,"    Teaching Strategies, LLC","Bethesda, MD 20814",,"Serious data geeks. Teaching Strategies is looking for a highly talented, innovative Data Scientist to join its technology development team...."
159,Data Consultant/SQL/SAS,        Rescare,"Salt Lake City, UT",,"Data Warehousing / Data Mart project experience a plus. 1 - 5+ years experience with data analysis. Perform complex data analysis to identify patterns,..."
160,"Principal Data Scientist, Sequencing",    Enterprise Select,"Santa Clara, CA 95050","$150,000 a year","As a principal data scientist in machine learning, you will explore an exciting new application of neural networks...."
161,Research Scientist (Machine Learning),        NVIDIA,"Westford, MA 01886",,We are now looking for a Research Scientist (Machine Learning). NVIDIA is searching for a world-class researcher in machine learning to join our research team....
162,Machine Learning Engineer,        IBM,"Boulder, CO 80301",,"Many of these projects include developing systems which need components that learn from data and provide feedback, recommendations and insights...."
168,Research Scientist/Engineer,        Vencore,"Arlington, VA",,"Data Science for Logistics/C2; From smart grid to smart phones, intelligent highways to intelligent battlefields, Vencore Labs’ 200 scientists, engineers and..."
169,STATISTICIAN DATA SCIENTIST - ENTERPRISE ANALYTICS,        UNC Health Care,"Chapel Hill, NC",,"STATISTICIAN DATA SCIENTIST - ENTERPRISE ANALYTICS. The Data Scientist works closely with clients, partners, developers, other statisticians, data stewards, and..."
172,Statistician,        Karna LLC,"Rockville, MD",,"Create costume data files for approved proposals using restricted data from the RDC data portfolio. Statistician, SAS, statistical analysis, SUDAAN, STATA, data..."
173,Data Scientist-Biology,"    Advanced Testing Laboratory, Inc","Indianapolis, IN 46225",,Data Scientist - Biology. The Data Scientist will work closely with our client to ensure that the operations of Advanced Testing Laboratory deliver customized...
174,Data Services Consultant/Business Intelligence,        Rescare,"Southfield, MI",,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve..."
175,Data Scientist - Healthcare,        Blackbaud,"Cambridge, MA 02141 (East Cambridge area)",,We seek a very seasoned Data Scientist with leadership experience to join our data science team. Experience working with health data including medical claims...
176,Data Scientist,"    CCOBOX, Inc.","Los Altos, CA",,"Analyze financial transaction and profile data. Do you love solving problems, and are you passionate about models/computation and building new capabilities?..."
177,Data Scientist 3,        Beyondsoft Consulting Corp.,"Redmond, WA",,"Strong Power BI experience, 2+ years SQL data queries experience. Working closely with the engineering team and program managers in order to pull the necessary..."
182,Principal Data Scientist,        Capital One,"McLean, VA",,"Principal Data Scientist. Writing software to clean and investigate large, messy data sets of numerical and textual data...."
183,"Clinical Data Scientist, Genomics",        Stanford Health Care,"Palo Alto, CA 94305",,"The Clinical Data Scientist is a vital member of the CGS team. Within this team, the Clinical Data Scientist is primarily responsible for evaluating the..."
184,Data Scientist - Contract to Hire,    Forbes Media LLC,"Jersey City, NJ",,"Forbes Media seeks a Data Scientist (Contract to Hire) tojoin our newly established Data Products team. We are looking for an aggressive,entrepreneurial Data..."
185,Watson Health -Data Scientist - Truven,        IBM,"Ann Arbor, MI 48105",,"They will use this knowledge in the application of advanced methods, such as predictive and classification models, data mining, and learning algorithms, to..."
186,"Statistician/Data Scientist - Junior, Mid & Senior",        OGSystems,"Springfield, VA",,Uses data mining for structured and unstructured information to join and explore relationships in disparate data sets.Applies advanced analytics capabilities to...
187,Data Scientist / Business Intelligence Analyst,    LQ Digital,"Emeryville, CA",,We are looking for a data scientist / business analyst to lead the charge in leveraging our growing repository of marketing and sales ops data to develop...
188,Data Analysis,        Hart,"San Antonio, TX",,Experience in creatingSAS programs to extract andmanipulate data foranalyse. 1.Able to perform dataanalysis and come up with data inference....
189,Data scientist - Machine learning,        AmerisourceBergen,"Charlotte, NC",,"Data scientist - Machine learning. The Data scientist provides guidance, road maps, principles, standards and best practices...."
190,Data Scientist Investor for Telstra Ventures,        Telstra,"San Francisco, CA",,"O Data sources – Mattermark, AppAnnie, SimilarWeb, credit card data, LinkedIn, Comscore, Crunchbase, and others that we can discuss post employment...."
191,"Software Engineer, Machine Learning",        Facebook,"Boston, MA",,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models...."
198,Statistical Regression Analyst,        Technology Service Corporation,"Arlington, VA 22202 (Aurora Highlands area)",,"Government, contractor, and documented data reserves to generate tailored information. Ability to search government and commercial sources of data focused on..."
199,Data Subject Matter Expert,    Axiologic Solutions,"Washington, DC",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
201,Big Data Scientist,        Information Innovators Inc.,"Alexandria, VA",,"The data scientist will, in this process, develop software in a variety of tools and data structures. The data scientist will conduct the analysis lifecycle..."
204,Data Scientists Analyst,        ASG Renaissance,"Dearborn, MI 48124",,Develop data processes scripts Perform data analysis with existing and newly developed scripts. Experience processing large data sets....
205,"TS/SCI - Data Scientist - (Big Data, Machine Learning)",    Smart Swarm Professional Services,"Colorado Springs, CO",,(experienced moving big data). Data visualization tools are a plus. TS/SCI*....
206,Data Scientist I/II/III,    Macrogen Corp.,"Rockville, MD 20850",,Strong interest in big data analysis and data mining. Prior experience analyzing high throughput sequencing data analysis (NGS data analysis)....
213,Watson Health - Data Miner - Truven,        IBM,"Ann Arbor, MI 48105",,"However, their work includes the entire process of data analysis, including the data cleansing, data preparation and visualization of results...."
214,Data Scientist- Financial Technology,        Uber,"San Francisco, CA 94103 (South Of Market area)",,"Data Scientist- Financial Technology Do you have a deep quantitative background? As a Data Scientist in Payments, you will play a central role in shaping and..."
215,Data Scientist (Active TS only),"    Commonwealth Computer Research, Inc.","Charlottesville, VA 22901 (29 North area)",,"CCRi is looking for smart, innovative data scientists with analytical and software engineering skills...."
216,Planing Assistant/Data Analysis.,        Four Seasons Design,"San Diego, CA 92154",,Planning assistant / Data Analysis. Retail Manufacturing experience a MAJOR Plus....
217,BIOINFORMATICIAN/DATA SCIENTIST,        University of Pennsylvania,"Philadelphia, PA",,"The candidate is expected to be an expert in next-generation sequencing and multidimensional data analysis platforms and methods, including flow cytometry data..."
218,"Research Analyst, Policy Brands Roundtable",        Atlantic Media,"Washington, DC 20037 (Foggy Bottom area)",,Experience analyzing quantitative benchmarking survey data. Background in creating visual graphics of both quantitative and qualitative data....
219,Employee Payables Data Analysis Specialist,        Booz Allen Hamilton,"Herndon, VA",,Employee Payables Data Analysis Specialist. Serve as a part of an internal team and perform data analysis of account payables....
220,Sr. Data Scientist,        Vungle,"San Francisco, CA",,Data Science at Vungle:. Researching and developing new/future data product. If you’re a hardcore Data Scientist with a love for Machine Learning and the...
221,Federal - Customer Facing Data Scientist,    DataRobot,"Washington, DC",,Experience with Hadoop and related Big Data technologies. As a Customer Facing Data Scientists you will be expected to work with the Field Sales team members...
222,Scientist I – Data Analysis in Experiments and Models,        Allen Institute,"Seattle, WA 98103 (Green Lake - Wallingford area)",,We are seeking a Scientist to be an essential team member in our ongoing efforts to investigate how the brain extracts and processes information....
227,Data Visualization Scientist,    Radiance Technologies Inc.,"Dayton, OH",,"The Data Visualization Scientist will apply graphical display principles to create visually appealing and easily comprehensible graphic displays on large,..."
232,Data Scientist..,        Akamai,"Santa Clara, CA",,"We are seeking a highly motivated Data Scientist who will work with team of scientists developing the next generation of Akamai's security algorithms, which are..."
233,Data Scientist,    SparkCognition,"Austin, TX",,"We are looking for a collaborative, self-starting, hungry Data Scientist to join our team of engineers, data scientists, and designers to deliver the next..."
234,Data Scientist/Analyst,        Autodesk,"Boston, MA 02111 (Central area)",,We are seeking an exceptional data scientist to synthesize and leverage our massive dataset of customer data to provide us with timely and integrated views of...
235,Intern - Junior Data Scientist (Perfect Execution),        Vertiv Co.,"Westerville, OH",,"Intern - Junior Data Scientist (Perfect Execution). Tracking data for analysis. Mar 30, 2017, 11:15:02 AM...."
236,Data Scientist,        Bonobos,"New York, NY",,Bonobos is seeking a Data Scientist to optimize operational and economic inefficiencies and to create practical solutions to business problems using data and...
244,"Associate Instructor, Data Scientist",        Galvanize,"Denver, CO",,Join us in building the world's hub for education in data science and data engineering. We are growing our data science instructional team at Galvanize....
245,Data Scientist – Scientific Data Analysis,    NIBR,"Cambridge, MA",,"You will be a part of teams that bring together leading bench scientists, software engineers, statisticians and bioinformaticians to make sense of large scale..."
246,Analytics Data Scientist / Analyst,        Booz Allen Hamilton,"McLean, VA",,"Analytics Data Scientist/Analyst. Experience with using R, Perl, Python, SAS, or SPSS for the analysis of data...."
247,Corporate Intern: Data Analysis,        Caterpillar,"Peoria, IL",,Creating data driven power point presentations for data analysis to management. Data Analysis Internship Details:....
248,Data Scientist,        Wiser,"Springfield, VA",,"Initiate the efficient implementation of methods, tools, algorithms, including preliminary data exploration, data visualization and preparation, model..."
249,Global Blackbelt Statistician / Data Scientist,        Microsoft,United States,,A Global Black Belt Statistician / Data Scientist TSP contributes to revenue and market share growth of the Microsoft Data Platform business by leading the...
250,"Researcher/Data Analyst, Bureau of Mental Health",        DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $80,829 a year","Conduct analysis on both survey data and on large administrative datasets (such as SPARCS data, Vital Stats data, program data) to evaluate outcomes, program..."
251,Genomics Data Scientist,        Oracle,"Burlington, MA",,"Genomics Data Scientist needs to exhibit deep familiarity with the domain of. Data management for genomic, proteomic, metabolomics and/or cancer-related...."
252,Research Data Analyst,        Johns Hopkins University,"Baltimore, MD",$22.06 - $30.37 an hour,"The data analyst will lead the organization and management of the data from three cohort studies, implementing protocols for data cleaning, documentation, and..."
259,Biomedical Data Scientist,        Leidos,"Frederick, MD 21702",,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...
262,Research Analyst,    ManTech International Corporation Req ID 89729BR,"Silver Spring, MD",,"Conduct quality review, data cleaning, merging, and extraction of relevant information from multiple large data sets.• Produce clear and concise written reports..."
265,Data Scientist,    Xometry,"Bethesda, MD",,Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. 2+ years experience performing data analysis that drives...
273,Data Scientist,    Jetlore,"San Mateo, CA 94402 (Beresford area)",,We are looking for an exceptional data scientist who is excited to work on challenging problems involving massive amount of data....
274,Principal Data Scientist (Insights & Analytics),    Coupang(TECH),"Seattle, WA",,Principal Data Scientist. The Insights & Analytics team within the Data team is looking for a Principal Data Scientist with a solid background in advanced...
275,Data Scientist - Quality,        Jabil Circuit,"San Jose, CA",,This role will have experience querying and analyzing large data sets using traditional structured data base tools and “big data” tools for unstructured data to...
276,Data Scientist,    Samba TV,"San Francisco, CA",,We’re looking for a Data Scientist to help us build the first real-time cross-screen TV analytics platform that brings the power of online analytics to TV data....
277,Data Scientist II,        HCA Corporate,"Nashville, TN",,"Moreover, the data scientist must understand the scientific process of hypothesis generation and testing, in particular data oriented discovery methodologies..."
278,Head of Data Science,        Vox Media,"Washington, DC",,You will ultimately drive a shift in deepening and broadening our data informed culture enabling data as a true currency....
279,Data Scientist,        Acosta Sales & Marketing,"Jacksonville, FL 32256",,"The Data Scientist will be a part of a team chartered to merge and mine large amounts of retail execution, sales and other relevant data to develop algorithms..."
280,Data Scientist/Data Engineer,        Novetta,"Springfield, VA",,Novetta is seeking a Data Engineer or Data Scientist interested in creating scalable ETL solutions and solving analytical challenges!...
